"model","run","conv","nit","gamma","C1","C2","kappa1","kappa2","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"GFDL-ESM4","r1i1p1f1","TRUE","2196","3.66639608708301","6.51082669228427","110.156731262592","1.4129124485942","0.702079952604822","1.1572397770886","0.988029606877716","0.698941123578729","7.72870008257952"
"GISS-E2-1-H","r1i1p3f1","TRUE","3351","2.84998090461648","5.60292852050863","72.5062403939709","1.1665955594006","0.846491159329314","1.1692476328165","0.486813676020974","0.98256611199896","7.45295370644447"
"CAS-ESM2-0","r1i1p1f1","TRUE","1729","1.59315579519105","6.38025823872765","54.7810229899864","1.01993336279906","0.636663043377079","1.33105849148876","0.48308627641272","0.667478252902752","7.47823087188151"
"MPI-ESM1-2-LR","r1i1p1f1","TRUE","2701","2.27727637194391","6.96969424625282","94.231830327714","1.48873313925891","0.754914267903558","1.24445927788481","0.454718907630451","0.891364307944775","9.34760585771087"
"CanESM5","r1i1p2f1","TRUE","2953","2.81803819638322","8.23451299907701","68.6879186535251","0.639894865477229","0.606653029856825","1.09191790021688","0.437737258531623","0.974427401122642","7.45606284347838"
"ACCESS-ESM1-5","r1i1p1f1","TRUE","1552","2.57856799190382","6.64805146681442","82.7222394773653","0.799692075545095","0.746266033012527","1.46866105122835","0.636450489913735","0.876969533558973","6.94891850718564"
"NorESM2-MM","r1i1p1f1","TRUE","2232","1.40649516345615","4.19091917445713","127.381852291322","1.98529757239397","0.764506990649419","1.7840340928517","1.2853987832844","0.686419531738695","10.6649614976656"
"CESM2","r1i1p1f1","TRUE","2477","2.56579057052123","7.81180705339155","72.096562630592","0.715684691429344","0.713574024277342","1.69742190968253","0.694960098061518","0.677040118041876","8.71361492542551"
"BCC-CSM2-MR","r1i1p1f1","TRUE","2611","2.23567576362168","6.97384662145827","65.4567579207356","1.14136987886277","0.750713204133208","1.20800197320644","0.54235106009418","0.56052463168413","7.03664296818815"
"CESM2-WACCM","r1i1p1f1","TRUE","2721","2.56285708295013","7.94532731401959","84.783294454712","0.76448258799346","0.757705424348671","1.58924594373246","0.665770255721681","0.711672174609156","8.36955391321057"
"MIROC6","r1i1p1f1","TRUE","3004","2.03041347102148","5.02131730304475","136.39169959311","1.52005908562856","0.796544929974343","1.28794554078298","0.73126836207956","1.01659829965971","8.31821995988195"
"MIROC-ES2L","r1i1p1f2","TRUE","2483","2.0315886893825","6.06022407657728","138.428612306955","1.59484635914774","0.83591612857305","1.07437332176136","0.742109918631275","1.18201275505299","8.56831150475484"
"NorCPM1","r1i1p1f1","TRUE","2213","1.71689243040734","8.13976417545753","94.9078771481417","1.20092029639117","0.87541854449873","1.4150703466815","0.49600601074512","0.676286853730591","7.93243250037457"
"GFDL-CM4","r1i1p1f1","TRUE","2504","2.71511295140629","5.36368453606916","81.2740945395098","1.0057656951859","0.690756967354034","1.81228462005519","0.956391044355975","0.709423761625065","9.03496038192593"
"MPI-ESM-1-2-HAM","r1i1p1f1","TRUE","2565","2.42401443247223","7.95046078182231","98.2350546779757","1.45268315764426","0.765262450727381","1.32030722770728","0.539665770724202","0.759848039442064","9.14611118314706"
"HadGEM3-GC31-MM","r1i1p1f3","TRUE","3085","2.6662864165056","7.11979217227032","64.7262716684991","0.665947935470874","0.727869808495229","1.07468523526178","0.457248962608759","0.876409902651508","7.39132952727475"
"FGOALS-g3","r1i1p1f1","TRUE","4353","1.10209851006262","6.74318608395563","88.6464010000247","1.31415975643507","0.744117522218471","1.23160466792995","0.2322731595108","0.625055125530698","7.87868703237335"
"BCC-ESM1","r1i1p1f1","TRUE","2770","1.72870513024408","7.75650923391791","77.8760332573187","0.982848581347607","0.680186868672439","1.23603319036166","0.378362257017503","0.468565991977835","6.68145461382323"
"GISS-E2-2-G","r1i1p1f1","TRUE","3158","2.60136388252882","5.88111208643059","159.272359013517","1.58912337121969","0.716186849434257","0.914418354707232","0.572882413939505","0.799912191226967","7.4468194045968"
"TaiESM1","r1i1p1f1","TRUE","2881","1.54804706569689","7.85453564306086","91.6625212166522","0.926509205249315","0.702166249473353","1.29434403798817","0.396116274637388","0.957678733287051","8.64664246989649"
"MPI-ESM1-2-HR","r1i1p1f1","TRUE","3451","3.0026834830964","7.38991768431738","81.5173780558526","1.41531022185904","0.783285968034079","1.4132498975128","0.546088145696541","0.62328620203309","8.87812167471473"
"FIO-ESM-2-0","r1i1p1f1","TRUE","2819","2.1663094390818","7.0792768978395","90.7373135970078","0.933677019163294","0.786575249009101","1.35484256849259","0.458490871971865","0.952165013182573","8.6104821684393"
"EC-Earth3","r3i1p1f1","TRUE","2408","2.15112427885384","6.20938140219082","34.1106847677111","0.960244712955056","0.810643503871408","1.3161161820303","0.62568229635414","1.17273374521977","8.11284605654244"
"NESM3","r1i1p1f1","TRUE","3004","2.2615671327006","4.44686036695863","77.8671919032519","0.84355990899423","0.610468123522091","1.01623651568461","0.502869389854598","0.581475973695231","7.89054553264994"
"HadGEM3-GC31-LL","r1i1p1f3","TRUE","3119","2.60095908276758","7.80573687242817","62.2847290283758","0.645357856829047","0.644488451234902","1.16734721337023","0.410515508011368","1.05144040379785","7.47689545839662"
"CESM2-FV2","r1i1p1f1","TRUE","2054","2.23090002257516","6.49314118216527","84.9439979910366","0.628960265953247","0.786967749645511","1.77158631702987","0.821004758171027","0.828141635943454","8.02612449610155"
"CNRM-CM6-1-HR","r1i1p1f2","TRUE","4693","5.19059123703796","8.14289234963553","81.2012263265243","0.879434391685437","0.665609828301731","0.880494276606682","0.600600703503194","0.873644076524297","7.47871553068544"
"MRI-ESM2-0","r1i1p1f1","TRUE","2715","2.30563725119202","6.55316953760023","96.8110913776706","1.23953404400807","0.919565851453747","1.44123533014348","0.86321618907104","0.712960886782689","8.40970979241608"
"IPSL-CM6A-LR","r1i1p1f1","TRUE","2762","3.41878677344898","6.64045162585723","53.3197994938898","0.807394892318306","0.574494888409799","1.22941461913053","0.917039216756707","0.961627508856231","7.6115879874083"
"INM-CM4-8","r1i1p1f1","TRUE","2549","2.47538583053912","6.41242209746931","28.3237157711763","1.67033531824269","0.67272547203639","1.26305314748175","0.449839651958671","0.372992716043944","6.1928250067488"
"CNRM-ESM2-1","r1i1p1f2","TRUE","2485","5.09104556459219","6.97128448803486","96.4341781290668","0.644810250636467","0.646275433775366","0.886936564743023","0.928133762752255","0.839156758681625","5.81952884438367"
"NorESM2-LM","r1i1p1f1","TRUE","2621","1.53112367337121","4.66587289424355","136.306879968318","1.60641635992348","0.779920598520782","2.26593202069851","1.26483660814973","0.756059068136015","10.306651833608"
"IITM-ESM","r1i1p1f1","TRUE","2946","2.93648118298437","6.14683210188746","129.20612883793","2.04504460507126","0.899337924758428","1.11995854800523","1.14818989509853","0.806150001516929","9.76615316941398"
"FGOALS-f3-L","r1i1p1f1","TRUE","3200","3.87037141866621","6.08002384708767","68.503697608232","1.57912106859998","0.773783737921602","1.46605568559398","0.974712561652898","1.06457175691526","9.98811680194812"
"UKESM1-0-LL","r1i1p1f2","TRUE","3436","3.0292451953875","8.75428190329887","68.0798754256201","0.684168035343202","0.61143957672405","1.12790428599776","0.457699641157787","1.08793033349835","7.58777744610944"
"CESM2-WACCM-FV2","r1i1p1f1","TRUE","2640","2.34257619172458","6.74454250491415","103.303012284097","0.646215749844571","0.777499428089057","1.53143152926922","0.858366913060174","0.873261077998007","7.32308355794343"
"AWI-CM-1-1-MR","r1i1p1f1","TRUE","3253","3.24765050062829","6.04158184277016","49.532264586565","1.3480764831321","0.646342477523388","1.31230648662001","0.83361818456259","0.8840530415246","8.71408922022897"
"EC-Earth3-Veg","r1i1p1f1","TRUE","5182","4.17274473713862","7.63751750564889","25.0026783798988","1.14716600713097","1.10170124025182","1.46430521804689","0.93084389314863","1.49323427748768","9.65185289501401"
"GISS-E2-1-G","r1i1p1f1","TRUE","2950","2.54873497723654","5.00360126487881","150.997460545255","1.48453013818548","0.844441344779587","1.11811366886623","0.501068690631693","0.809664766319564","8.26527958477865"
"ACCESS-CM2","r1i1p1f1","TRUE","2784","1.38400078711091","7.80113528421066","74.6541574694201","0.765690623430144","0.689713966837561","1.30042468341046","0.412789440498049","0.985190299338777","7.72982295347652"
"SAM0-UNICON","r1i1p1f1","TRUE","2289","2.35721760253179","6.47616175888017","109.082870050839","1.09075506379208","0.760005741032418","1.25773723490094","0.796423551570459","0.794449635471914","8.63966108585952"
"KIOST-ESM","r1i1p1f1","TRUE","2515","2.445966212413","5.10346232060318","92.3023653606981","1.02918652476631","0.783912568364078","1.33752778959339","0.650388110989912","0.61788092886419","7.58689699439396"
"CMCC-CM2-SR5","r1i1p1f1","TRUE","3064","1.60971831123761","6.25675332333208","50.6810799474985","1.33958944412858","0.758702519620133","1.49940141896065","0.616089034860534","1.27168266436992","9.86687428493048"
"CAMS-CSM1-0","r1i1p1f1","TRUE","4544","4.43443921612129","7.1427271463776","51.9895720748312","2.02031564720035","0.726742124018457","1.31188242232047","1.0623678762526","0.78131203116728","9.48465183557127"
"KACE-1-0-G","r1i1p1f1","TRUE","3085","1.9662892563679","6.88271924636086","98.1054503658731","0.774314427498406","0.750989096325346","1.24586278583504","0.358369439837971","0.736661576380318","8.08785773930042"
"INM-CM5-0","r1i1p1f1","TRUE","2740","1.94246188441601","7.14824780031308","48.8682397549462","1.65569102860824","0.614481642869462","1.21962010444415","0.460776754015925","0.48868782685393","6.4517645095646"
"CIESM","r1i1p1f1","TRUE","2443","0.745922422204699","9.03127775783464","72.3227335312967","0.733073332197237","0.810653122214512","1.30650613674001","0.353533919765691","0.859112897547412","8.84303423874054"
"E3SM-1-0","r1i1p1f1","TRUE","2459","2.61276144534041","7.64592727054402","39.7069188541258","0.656913604218149","0.436202576844171","1.3994016883453","0.831207467759562","1.14997821774836","7.56004598688848"
"CNRM-CM6-1","r1i1p1f2","TRUE","3302","4.48879354916354","6.68513565642582","93.6540024316518","0.74872625122527","0.664038348392068","1.0625622609985","0.727102103527057","0.91154377306351","7.49473139735905"
