year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1897,294.65,294.65,294.65,294.65,294.65,294.65,294.65,294.65
1898,294.95,294.95,294.95,294.95,294.95,294.95,294.95,294.95
1899,295.30,295.30,295.30,295.30,295.30,295.30,295.30,295.30
1900,295.67,295.67,295.67,295.67,295.67,295.67,295.67,295.67
1901,296.01,296.01,296.01,296.01,296.01,296.01,296.01,296.01
1902,296.33,296.33,296.33,296.33,296.33,296.33,296.33,296.33
1903,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65
1904,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95
1905,297.29,297.29,297.29,297.29,297.29,297.29,297.29,297.29
1906,297.66,297.66,297.66,297.66,297.66,297.66,297.66,297.66
1907,298.10,298.10,298.10,298.10,298.10,298.10,298.10,298.10
1908,298.52,298.52,298.52,298.52,298.52,298.52,298.52,298.52
1909,298.94,298.94,298.94,298.94,298.94,298.94,298.94,298.94
1910,299.38,299.38,299.38,299.38,299.38,299.38,299.38,299.38
1911,299.83,299.83,299.83,299.83,299.83,299.83,299.83,299.83
1912,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35
1913,300.91,300.91,300.91,300.91,300.91,300.91,300.91,300.91
1914,301.42,301.42,301.42,301.42,301.42,301.42,301.42,301.42
1915,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94
1916,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48
1917,303.01,303.01,303.01,303.01,303.01,303.01,303.01,303.01
1918,303.45,303.45,303.45,303.45,303.45,303.45,303.45,303.45
1919,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81
1920,304.25,304.25,304.25,304.25,304.25,304.25,304.25,304.25
1921,304.60,304.60,304.60,304.60,304.60,304.60,304.60,304.60
1922,304.94,304.94,304.94,304.94,304.94,304.94,304.94,304.94
1923,305.27,305.27,305.27,305.27,305.27,305.27,305.27,305.27
1924,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63
1925,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81
1926,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95
1927,306.18,306.18,306.18,306.18,306.18,306.18,306.18,306.18
1928,306.33,306.33,306.33,306.33,306.33,306.33,306.33,306.33
1929,306.49,306.49,306.49,306.49,306.49,306.49,306.49,306.49
1930,306.62,306.62,306.62,306.62,306.62,306.62,306.62,306.62
1931,306.82,306.82,306.82,306.82,306.82,306.82,306.82,306.82
1932,307.09,307.09,307.09,307.09,307.09,307.09,307.09,307.09
1933,307.40,307.40,307.40,307.40,307.40,307.40,307.40,307.40
1934,307.78,307.78,307.78,307.78,307.78,307.78,307.78,307.78
1935,308.23,308.23,308.23,308.23,308.23,308.23,308.23,308.23
1936,309.01,309.01,309.01,309.01,309.01,309.01,309.01,309.01
1937,309.76,309.76,309.76,309.76,309.76,309.76,309.76,309.76
1938,310.29,310.29,310.29,310.29,310.29,310.29,310.29,310.29
1939,310.85,310.85,310.85,310.85,310.85,310.85,310.85,310.85
1940,311.36,311.36,311.36,311.36,311.36,311.36,311.36,311.36
1941,311.81,311.81,311.81,311.81,311.81,311.81,311.81,311.81
1942,312.17,312.17,312.17,312.17,312.17,312.17,312.17,312.17
1943,312.39,312.39,312.39,312.39,312.39,312.39,312.39,312.39
1944,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41
1945,312.38,312.38,312.38,312.38,312.38,312.38,312.38,312.38
1946,312.39,312.39,312.39,312.39,312.39,312.39,312.39,312.39
1947,312.49,312.49,312.49,312.49,312.49,312.49,312.49,312.49
1948,312.52,312.52,312.52,312.52,312.52,312.52,312.52,312.52
1949,312.63,312.63,312.63,312.63,312.63,312.63,312.63,312.63
1950,312.82,312.82,312.82,312.82,312.82,312.82,312.82,312.82
1951,313.01,313.01,313.01,313.01,313.01,313.01,313.01,313.01
1952,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34
1953,313.73,313.73,313.73,313.73,313.73,313.73,313.73,313.73
1954,314.09,314.09,314.09,314.09,314.09,314.09,314.09,314.09
1955,314.41,314.41,314.41,314.41,314.41,314.41,314.41,314.41
1956,314.70,314.70,314.70,314.70,314.70,314.70,314.70,314.70
1957,314.99,314.99,314.99,314.99,314.99,314.99,314.99,314.99
1958,315.34,315.34,315.34,315.34,315.34,315.34,315.34,315.34
1959,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81
1960,316.62,316.62,316.62,316.62,316.62,316.62,316.62,316.62
1961,317.30,317.30,317.30,317.30,317.30,317.30,317.30,317.30
1962,318.04,318.04,318.04,318.04,318.04,318.04,318.04,318.04
1963,318.65,318.65,318.65,318.65,318.65,318.65,318.65,318.65
1964,319.33,319.33,319.33,319.33,319.33,319.33,319.33,319.33
1965,319.82,319.82,319.82,319.82,319.82,319.82,319.82,319.82
1966,320.88,320.88,320.88,320.88,320.88,320.88,320.88,320.88
1967,321.48,321.48,321.48,321.48,321.48,321.48,321.48,321.48
1968,322.39,322.39,322.39,322.39,322.39,322.39,322.39,322.39
1969,323.25,323.25,323.25,323.25,323.25,323.25,323.25,323.25
1970,324.78,324.78,324.78,324.78,324.78,324.78,324.78,324.78
1971,325.40,325.40,325.40,325.40,325.40,325.40,325.40,325.40
1972,327.35,327.35,327.35,327.35,327.35,327.35,327.35,327.35
1973,329.91,329.91,329.91,329.91,329.91,329.91,329.91,329.91
1974,330.76,330.76,330.76,330.76,330.76,330.76,330.76,330.76
1975,330.83,330.83,330.83,330.83,330.83,330.83,330.83,330.83
1976,331.54,331.54,331.54,331.54,331.54,331.54,331.54,331.54
1977,333.35,333.35,333.35,333.35,333.35,333.35,333.35,333.35
1978,335.01,335.01,335.01,335.01,335.01,335.01,335.01,335.01
1979,336.60,336.60,336.60,336.60,336.60,336.60,336.60,336.60
1980,338.70,338.70,338.70,338.70,338.70,338.70,338.70,338.70
1981,340.06,340.06,340.06,340.06,340.06,340.06,340.06,340.06
1982,340.64,340.64,340.64,340.64,340.64,340.64,340.64,340.64
1983,342.27,342.27,342.27,342.27,342.27,342.27,342.27,342.27
1984,344.01,344.01,344.01,344.01,344.01,344.01,344.01,344.01
1985,345.46,345.46,345.46,345.46,345.46,345.46,345.46,345.46
1986,346.90,346.90,346.90,346.90,346.90,346.90,346.90,346.90
1987,348.77,348.77,348.77,348.77,348.77,348.77,348.77,348.77
1988,351.28,351.28,351.28,351.28,351.28,351.28,351.28,351.28
1989,352.89,352.89,352.89,352.89,352.89,352.89,352.89,352.89
1990,354.07,354.07,354.07,354.07,354.07,354.07,354.07,354.07
1991,355.35,355.35,355.35,355.35,355.35,355.35,355.35,355.35
1992,356.23,356.23,356.23,356.23,356.23,356.23,356.23,356.23
1993,356.92,356.92,356.92,356.92,356.92,356.92,356.92,356.92
1994,358.25,358.25,358.25,358.25,358.25,358.25,358.25,358.25
1995,360.24,360.24,360.24,360.24,360.24,360.24,360.24,360.24
1996,362.00,362.00,362.00,362.00,362.00,362.00,362.00,362.00
1997,363.25,363.25,363.25,363.25,363.25,363.25,363.25,363.25
1998,365.93,365.93,365.93,365.93,365.93,365.93,365.93,365.93
1999,367.84,367.84,367.84,367.84,367.84,367.84,367.84,367.84
2000,369.12,369.12,369.12,369.12,369.12,369.12,369.12,369.12
2001,370.67,370.67,370.67,370.67,370.67,370.67,370.67,370.67
2002,372.83,372.83,372.83,372.83,372.83,372.83,372.83,372.83
2003,375.41,375.41,375.41,375.41,375.41,375.41,375.41,375.41
2004,376.99,376.99,376.99,376.99,376.99,376.99,376.99,376.99
2005,378.91,378.91,378.91,378.91,378.91,378.91,378.91,378.91
2006,381.01,381.01,381.01,381.01,381.01,381.01,381.01,381.01
2007,382.60,382.60,382.60,382.60,382.60,382.60,382.60,382.60
2008,384.74,384.74,384.74,384.74,384.74,384.74,384.74,384.74
2009,386.28,386.28,386.28,386.28,386.28,386.28,386.28,386.28
2010,388.72,388.72,388.72,388.72,388.72,388.72,388.72,388.72
2011,390.94,390.94,390.94,390.94,390.94,390.94,390.94,390.94
2012,393.02,393.02,393.02,393.02,393.02,393.02,393.02,393.02
2013,395.72,395.72,395.72,395.72,395.72,395.72,395.72,395.72
2014,397.55,397.55,397.55,397.55,397.55,397.55,397.55,397.55
2015,399.95,399.95,399.95,399.95,399.95,399.95,399.95,399.95
2016,403.12,403.12,403.12,403.12,403.12,403.12,403.12,403.12
2017,405.75,405.75,405.76,405.81,405.74,405.74,405.80,405.79
2018,408.59,408.59,408.63,408.83,408.56,408.56,408.78,408.76
2019,411.40,411.42,411.51,411.95,411.34,411.34,411.84,411.79
2020,414.21,414.23,414.39,415.15,414.10,414.10,414.98,414.89
2021,417.01,417.04,417.29,418.46,416.84,416.84,418.20,418.06
2022,419.70,419.81,420.20,421.84,419.54,419.61,421.53,421.33
2023,422.17,422.50,423.12,425.28,422.18,422.44,424.97,424.72
2024,424.44,425.12,426.07,428.78,424.76,425.33,428.52,428.22
2025,426.52,427.67,429.03,432.35,427.29,428.29,432.18,431.83
2026,428.43,430.17,432.01,435.97,429.77,431.31,435.95,435.55
2027,430.15,432.60,435.01,439.67,432.20,434.39,439.83,439.38
2028,431.71,434.97,438.03,443.43,434.58,437.53,443.82,443.31
2029,433.10,437.29,441.08,447.26,436.93,440.73,447.92,447.36
2030,434.32,439.56,444.14,451.16,439.23,444.00,452.13,451.51
2031,435.39,441.78,447.23,455.14,441.48,447.32,456.45,455.78
2032,436.34,443.93,450.33,459.17,443.69,450.70,460.89,460.16
2033,437.18,445.99,453.43,463.24,445.83,454.09,465.47,464.68
2034,437.92,447.97,456.54,467.36,447.90,457.52,470.18,469.33
2035,438.55,449.87,459.65,471.54,449.92,460.97,475.02,474.11
2036,439.08,451.68,462.77,475.76,451.87,464.46,479.99,479.02
2037,439.51,453.43,465.90,480.04,453.77,467.97,485.10,484.07
2038,439.84,455.09,469.03,484.38,455.60,471.52,490.34,489.25
2039,440.06,456.68,472.18,488.77,457.38,475.10,495.72,494.57
2040,440.18,458.20,475.34,493.22,459.11,478.72,501.23,500.02
2041,440.20,459.65,478.50,497.73,460.78,482.37,506.88,505.61
2042,440.14,461.02,481.67,502.29,462.39,486.03,512.47,511.34
2043,440.03,462.31,484.84,506.90,463.93,489.70,517.82,517.23
2044,439.86,463.54,488.00,511.56,465.40,493.38,522.94,523.27
2045,439.63,464.68,491.15,516.26,466.81,497.06,527.84,529.46
2046,439.35,465.75,494.30,521.02,468.16,500.75,532.53,535.81
2047,439.01,466.75,497.45,525.83,469.44,504.44,537.02,542.31
2048,438.61,467.68,500.59,530.69,470.66,508.15,541.32,548.98
2049,438.15,468.53,503.73,535.61,471.82,511.87,545.41,555.80
2050,437.63,469.31,506.87,540.58,472.92,515.59,549.32,562.78
2051,437.05,470.02,510.01,545.61,473.95,519.33,553.03,569.93
2052,436.45,470.66,513.14,550.69,474.95,523.07,556.47,577.26
2053,435.84,471.25,516.23,555.82,475.92,526.81,559.52,584.78
2054,435.22,471.78,519.29,561.00,476.86,530.55,562.22,592.51
2055,434.60,472.25,522.33,566.24,477.78,534.28,564.55,600.43
2056,433.96,472.66,525.33,571.53,478.68,538.01,566.53,608.55
2057,433.32,473.02,528.31,576.87,479.54,541.74,568.16,616.87
2058,432.67,473.32,531.26,582.27,480.38,545.47,569.44,625.39
2059,432.00,473.56,534.19,587.72,481.19,549.21,570.38,634.11
2060,431.31,473.75,537.08,593.23,481.97,552.94,570.99,643.04
2061,430.62,473.88,539.96,598.80,482.72,556.67,571.25,652.17
2062,429.91,473.96,542.79,604.42,483.45,560.39,571.26,661.51
2063,429.19,474.00,545.59,610.11,484.15,564.10,571.07,671.04
2064,428.46,474.00,548.33,615.85,484.82,567.79,570.68,680.79
2065,427.73,473.96,551.04,621.65,485.47,571.46,570.09,690.74
2066,426.98,473.87,553.70,627.50,486.10,575.12,569.30,700.90
2067,426.22,473.75,556.32,633.42,486.70,578.76,568.31,711.27
2068,425.45,473.58,558.89,639.40,487.27,582.39,567.12,721.85
2069,424.67,473.36,561.43,645.44,487.82,586.01,565.72,732.65
2070,423.88,473.11,563.92,651.54,488.33,589.61,564.13,743.66
2071,423.07,472.81,566.38,657.71,488.82,593.20,562.34,754.89
2072,422.25,472.46,568.77,663.93,489.27,596.74,560.43,766.32
2073,421.43,472.04,571.08,670.22,489.65,600.21,558.48,777.93
2074,420.58,471.56,573.31,676.57,489.96,603.61,556.49,789.72
2075,419.73,471.02,575.47,682.98,490.22,606.95,554.46,801.69
2076,418.87,470.41,577.54,689.46,490.41,610.22,552.38,813.85
2077,417.99,469.75,579.54,696.00,490.55,613.42,550.25,826.19
2078,417.10,469.02,581.46,702.61,490.62,616.56,548.06,838.73
2079,416.20,468.24,583.30,709.27,490.64,619.63,545.82,851.45
2080,415.29,467.39,585.07,716.01,490.59,622.64,543.53,864.37
2081,414.36,466.48,586.77,722.81,490.49,625.58,541.18,877.48
2082,413.42,465.54,588.38,729.68,490.31,628.46,538.80,890.71
2083,412.46,464.56,589.89,736.63,490.05,631.27,536.44,903.98
2084,411.48,463.56,591.30,743.66,489.69,634.01,534.08,917.30
2085,410.49,462.53,592.61,750.76,489.26,636.68,531.72,930.67
2086,409.48,461.47,593.82,757.95,488.73,639.28,529.36,944.09
2087,408.45,460.38,594.94,765.22,488.13,641.81,527.00,957.57
2088,407.40,459.26,595.97,772.56,487.44,644.28,524.64,971.10
2089,406.34,458.10,596.90,779.98,486.67,646.67,522.28,984.68
2090,405.26,456.92,597.73,787.49,485.82,648.99,519.91,998.32
2091,404.16,455.71,598.48,795.07,484.89,651.24,517.53,1012.02
2092,403.04,454.50,599.15,802.74,483.89,653.43,515.16,1025.74
2093,401.91,453.32,599.78,810.49,482.82,655.54,512.80,1039.45
2094,400.76,452.16,600.35,818.33,481.68,657.59,510.46,1053.15
2095,399.59,451.02,600.89,826.25,480.46,659.57,508.14,1066.85
2096,398.41,449.91,601.37,834.27,479.18,661.47,505.82,1080.53
2097,397.21,448.81,601.80,842.37,477.84,663.31,503.51,1094.21
2098,395.99,447.73,602.18,850.55,476.42,665.08,501.21,1107.89
2099,394.76,446.67,602.51,858.83,474.93,666.78,498.93,1121.55
2100,393.51,445.63,602.78,867.19,473.38,668.40,496.64,1135.21
2101,392.24,444.59,603.01,875.64,471.76,669.96,494.37,1148.86
2102,390.98,443.58,603.22,884.11,470.13,671.49,492.12,1162.47
2103,389.76,442.59,603.46,892.53,468.53,673.02,489.89,1176.03
2104,388.55,441.61,603.72,900.91,466.96,674.57,487.69,1189.53
2105,387.37,440.66,604.01,909.25,465.43,676.12,485.52,1202.98
2106,386.22,439.73,604.32,917.54,463.91,677.67,483.38,1216.37
2107,385.08,438.81,604.65,925.79,462.42,679.22,481.26,1229.70
2108,383.96,437.91,605.00,934.00,460.95,680.78,479.17,1242.97
2109,382.87,437.03,605.36,942.18,459.50,682.34,477.10,1256.19
2110,381.79,436.16,605.73,950.31,458.07,683.89,475.05,1269.35
2111,380.73,435.31,606.12,958.40,456.65,685.45,473.03,1282.45
2112,379.68,434.47,606.53,966.44,455.24,687.00,471.02,1295.49
2113,378.65,433.65,606.94,974.45,453.85,688.55,469.04,1308.47
2114,377.63,432.84,607.37,982.42,452.47,690.09,467.08,1321.39
2115,376.63,432.04,607.80,990.34,451.11,691.64,465.14,1334.25
2116,375.64,431.26,608.25,998.21,449.75,693.18,463.21,1347.05
2117,374.67,430.49,608.70,1006.05,448.40,694.71,461.31,1359.78
2118,373.71,429.73,609.16,1013.84,447.07,696.24,459.42,1372.44
2119,372.76,428.99,609.63,1021.58,445.74,697.76,457.55,1385.04
2120,371.82,428.25,610.11,1029.27,444.42,699.28,455.70,1397.57
2121,370.90,427.53,610.59,1036.92,443.11,700.79,453.86,1410.04
2122,369.98,426.82,611.08,1044.52,441.81,702.29,452.04,1422.43
2123,369.08,426.12,611.58,1052.08,440.51,703.79,450.24,1434.76
2124,368.19,425.43,612.08,1059.58,439.22,705.28,448.45,1447.01
2125,367.31,424.75,612.58,1067.03,437.94,706.76,446.67,1459.19
2126,366.43,424.08,613.09,1074.44,436.66,708.24,444.91,1471.29
2127,365.57,423.42,613.61,1081.79,435.39,709.71,443.17,1483.32
2128,364.72,422.77,614.13,1089.09,434.12,711.16,441.44,1495.28
2129,363.88,422.13,614.65,1096.33,432.86,712.62,439.72,1507.16
2130,363.05,421.50,615.18,1103.53,431.61,714.06,438.02,1518.96
2131,362.22,420.88,615.71,1110.67,430.35,715.49,436.33,1530.68
2132,361.41,420.27,616.25,1117.75,429.11,716.92,434.66,1542.32
2133,360.60,419.67,616.78,1124.78,427.87,718.33,433.00,1553.88
2134,359.80,419.07,617.32,1131.76,426.63,719.74,431.35,1565.36
2135,359.01,418.49,617.87,1138.67,425.40,721.14,429.71,1576.76
2136,358.23,417.91,618.41,1145.53,424.17,722.53,428.09,1588.08
2137,357.45,417.34,618.96,1152.34,422.94,723.91,426.48,1599.31
2138,356.69,416.77,619.51,1159.08,421.72,725.28,424.88,1610.45
2139,355.93,416.22,620.06,1165.77,420.50,726.64,423.30,1621.51
2140,355.18,415.68,620.62,1172.40,419.29,728.00,421.72,1632.49
2141,354.43,415.14,621.18,1178.96,418.08,729.34,420.16,1643.38
2142,353.71,414.61,621.73,1185.47,416.89,730.67,418.65,1654.17
2143,353.02,414.11,622.29,1191.92,415.75,731.99,417.22,1664.88
2144,352.36,413.63,622.86,1198.31,414.64,733.30,415.88,1675.51
2145,351.74,413.16,623.42,1204.63,413.58,734.61,414.62,1686.04
2146,351.14,412.71,623.98,1210.89,412.54,735.90,413.43,1696.48
2147,350.56,412.29,624.55,1217.09,411.55,737.18,412.32,1706.82
2148,350.02,411.88,625.12,1223.23,410.58,738.45,411.28,1717.08
2149,349.50,411.49,625.69,1229.30,409.65,739.71,410.31,1727.24
2150,349.01,411.11,626.26,1235.32,408.75,740.96,409.40,1737.32
2151,348.53,410.75,626.83,1241.26,407.89,742.20,408.56,1747.29
2152,348.08,410.40,627.39,1247.15,407.05,743.43,407.79,1757.17
2153,347.65,410.06,627.95,1252.97,406.24,744.64,407.07,1766.95
2154,347.23,409.73,628.49,1258.74,405.47,745.84,406.41,1776.64
2155,346.84,409.41,629.03,1264.45,404.73,747.02,405.81,1786.22
2156,346.45,409.10,629.55,1270.10,404.02,748.18,405.26,1795.70
2157,346.09,408.80,630.06,1275.70,403.34,749.33,404.78,1805.08
2158,345.74,408.51,630.57,1281.23,402.69,750.47,404.35,1814.36
2159,345.41,408.22,631.06,1286.70,402.07,751.59,403.97,1823.54
2160,345.09,407.95,631.54,1292.11,401.47,752.69,403.65,1832.61
2161,344.80,407.68,632.02,1297.47,400.90,753.78,403.37,1841.58
2162,344.51,407.42,632.48,1302.76,400.36,754.85,403.15,1850.46
2163,344.25,407.17,632.93,1307.99,399.85,755.91,402.99,1859.22
2164,343.99,406.93,633.38,1313.16,399.36,756.95,402.87,1867.89
2165,343.76,406.70,633.81,1318.26,398.90,757.97,402.80,1876.45
2166,343.54,406.48,634.24,1323.31,398.47,758.98,402.79,1884.90
2167,343.33,406.26,634.65,1328.29,398.06,759.98,402.82,1893.24
2168,343.14,406.05,635.06,1333.21,397.67,760.96,402.90,1901.49
2169,342.97,405.86,635.46,1338.07,397.31,761.92,403.03,1909.62
2170,342.80,405.67,635.84,1342.87,396.98,762.87,403.21,1917.65
2171,342.66,405.49,636.22,1347.60,396.67,763.80,403.43,1925.58
2172,342.53,405.31,636.59,1352.27,396.38,764.71,403.66,1933.40
2173,342.41,405.15,636.95,1356.88,396.12,765.61,403.86,1941.11
2174,342.31,404.99,637.29,1361.42,395.89,766.50,404.04,1948.71
2175,342.22,404.84,637.63,1365.90,395.67,767.37,404.19,1956.21
2176,342.14,404.70,637.96,1370.32,395.48,768.22,404.33,1963.60
2177,342.08,404.57,638.28,1374.67,395.32,769.06,404.44,1970.88
2178,342.04,404.45,638.60,1378.96,395.17,769.88,404.54,1978.05
2179,342.00,404.33,638.90,1383.18,395.05,770.68,404.63,1985.11
2180,341.98,404.23,639.19,1387.34,394.96,771.47,404.70,1992.07
2181,341.98,404.13,639.47,1391.44,394.88,772.24,404.76,1998.93
2182,341.99,404.03,639.75,1395.47,394.83,773.00,404.81,2005.67
2183,342.01,403.95,640.02,1399.43,394.80,773.74,404.85,2012.30
2184,342.04,403.87,640.27,1403.33,394.79,774.46,404.88,2018.83
2185,342.09,403.80,640.52,1407.16,394.81,775.17,404.91,2025.25
2186,342.15,403.74,640.75,1410.93,394.85,775.87,404.92,2031.56
2187,342.23,403.69,640.98,1414.64,394.91,776.54,404.93,2037.76
2188,342.31,403.64,641.20,1418.27,394.99,777.20,404.93,2043.85
2189,342.41,403.60,641.41,1421.85,395.09,777.85,404.93,2049.81
2190,342.53,403.58,641.61,1425.35,395.21,778.47,404.93,2055.66
2191,342.65,403.55,641.80,1428.80,395.36,779.09,404.92,2061.42
2192,342.78,403.53,641.98,1432.17,395.51,779.68,404.90,2067.09
2193,342.89,403.51,642.15,1435.48,395.64,780.26,404.88,2072.64
2194,342.99,403.47,642.32,1438.72,395.75,780.82,404.86,2078.06
2195,343.08,403.44,642.47,1441.90,395.85,781.37,404.84,2083.38
2196,343.16,403.40,642.62,1445.01,395.94,781.90,404.81,2088.59
2197,343.23,403.36,642.75,1448.05,396.02,782.41,404.78,2093.68
2198,343.30,403.31,642.88,1451.03,396.10,782.91,404.75,2098.67
2199,343.36,403.26,643.00,1453.94,396.16,783.39,404.71,2103.54
2200,343.41,403.21,643.10,1456.79,396.21,783.86,404.68,2108.31
2201,343.45,403.16,643.20,1459.57,396.26,784.31,404.64,2112.96
2202,343.49,403.10,643.29,1462.28,396.30,784.74,404.60,2117.51
2203,343.53,403.05,643.37,1464.92,396.34,785.15,404.55,2121.95
2204,343.57,402.99,643.44,1467.50,396.37,785.55,404.51,2126.27
2205,343.59,402.93,643.51,1470.01,396.39,785.94,404.47,2130.49
2206,343.62,402.87,643.56,1472.46,396.42,786.30,404.42,2134.59
2207,343.64,402.80,643.60,1474.83,396.43,786.65,404.37,2138.60
2208,343.66,402.74,643.64,1477.14,396.44,786.99,404.33,2142.48
2209,343.68,402.68,643.66,1479.39,396.45,787.30,404.28,2146.26
2210,343.69,402.61,643.68,1481.56,396.46,787.60,404.23,2149.93
2211,343.70,402.54,643.69,1483.67,396.46,787.89,404.17,2153.48
2212,343.71,402.48,643.69,1485.72,396.46,788.16,404.12,2156.92
2213,343.72,402.41,643.67,1487.69,396.46,788.41,404.07,2160.24
2214,343.72,402.34,643.65,1489.60,396.45,788.64,404.02,2163.46
2215,343.72,402.27,643.63,1491.44,396.44,788.86,403.96,2166.57
2216,343.73,402.20,643.59,1493.22,396.43,789.07,403.91,2169.58
2217,343.73,402.13,643.54,1494.92,396.42,789.25,403.85,2172.48
2218,343.72,402.06,643.48,1496.56,396.40,789.42,403.80,2175.27
2219,343.72,401.99,643.42,1498.14,396.39,789.57,403.74,2177.93
2220,343.72,401.92,643.34,1499.64,396.37,789.71,403.68,2180.49
2221,343.71,401.85,643.26,1501.08,396.35,789.83,403.62,2182.95
2222,343.70,401.78,643.17,1502.45,396.32,789.93,403.57,2185.29
2223,343.70,401.70,643.07,1503.76,396.30,790.02,403.51,2187.52
2224,343.69,401.63,642.96,1504.99,396.27,790.09,403.45,2189.65
2225,343.68,401.56,642.84,1506.16,396.25,790.14,403.39,2191.67
2226,343.67,401.49,642.71,1507.26,396.22,790.18,403.33,2193.57
2227,343.66,401.41,642.57,1508.30,396.19,790.20,403.27,2195.33
2228,343.65,401.34,642.42,1509.27,396.16,790.21,403.21,2197.01
2229,343.64,401.27,642.27,1510.17,396.13,790.20,403.15,2198.59
2230,343.63,401.19,642.11,1511.00,396.09,790.17,403.09,2200.07
2231,343.62,401.12,641.93,1511.77,396.06,790.12,403.02,2201.43
2232,343.61,401.05,641.75,1512.47,396.02,790.06,402.96,2202.66
2233,343.59,400.97,641.56,1513.10,395.99,789.98,402.90,2203.79
2234,343.58,400.90,641.36,1513.67,395.95,789.89,402.84,2204.81
2235,343.57,400.83,641.15,1514.17,395.91,789.78,402.77,2205.73
2236,343.55,400.75,640.93,1514.60,395.87,789.65,402.71,2206.53
2237,343.54,400.68,640.71,1514.97,395.83,789.51,402.65,2207.23
2238,343.52,400.60,640.47,1515.27,395.79,789.35,402.58,2207.81
