year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1850,284.32,284.32,284.32,284.32,284.32,284.32,284.32,284.32
1851,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45
1852,284.60,284.60,284.60,284.60,284.60,284.60,284.60,284.60
1853,284.73,284.73,284.73,284.73,284.73,284.73,284.73,284.73
1854,284.85,284.85,284.85,284.85,284.85,284.85,284.85,284.85
1855,284.94,284.94,284.94,284.94,284.94,284.94,284.94,284.94
1856,285.05,285.05,285.05,285.05,285.05,285.05,285.05,285.05
1857,285.20,285.20,285.20,285.20,285.20,285.20,285.20,285.20
1858,285.37,285.37,285.37,285.37,285.37,285.37,285.37,285.37
1859,285.55,285.55,285.55,285.55,285.55,285.55,285.55,285.55
1860,285.74,285.74,285.74,285.74,285.74,285.74,285.74,285.74
1861,285.93,285.93,285.93,285.93,285.93,285.93,285.93,285.93
1862,286.10,286.10,286.10,286.10,286.10,286.10,286.10,286.10
1863,286.27,286.27,286.27,286.27,286.27,286.27,286.27,286.27
1864,286.44,286.44,286.44,286.44,286.44,286.44,286.44,286.44
1865,286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61
1866,286.78,286.78,286.78,286.78,286.78,286.78,286.78,286.78
1867,286.95,286.95,286.95,286.95,286.95,286.95,286.95,286.95
1868,287.11,287.11,287.11,287.11,287.11,287.11,287.11,287.11
1869,287.23,287.23,287.23,287.23,287.23,287.23,287.23,287.23
1870,287.36,287.36,287.36,287.36,287.36,287.36,287.36,287.36
1871,287.49,287.49,287.49,287.49,287.49,287.49,287.49,287.49
1872,287.66,287.66,287.66,287.66,287.66,287.66,287.66,287.66
1873,287.86,287.86,287.86,287.86,287.86,287.86,287.86,287.86
1874,288.06,288.06,288.06,288.06,288.06,288.06,288.06,288.06
1875,288.29,288.29,288.29,288.29,288.29,288.29,288.29,288.29
1876,288.52,288.52,288.52,288.52,288.52,288.52,288.52,288.52
1877,288.75,288.75,288.75,288.75,288.75,288.75,288.75,288.75
1878,288.99,288.99,288.99,288.99,288.99,288.99,288.99,288.99
1879,289.22,289.22,289.22,289.22,289.22,289.22,289.22,289.22
1880,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47
1881,289.74,289.74,289.74,289.74,289.74,289.74,289.74,289.74
1882,290.02,290.02,290.02,290.02,290.02,290.02,290.02,290.02
1883,290.26,290.26,290.26,290.26,290.26,290.26,290.26,290.26
1884,290.51,290.51,290.51,290.51,290.51,290.51,290.51,290.51
1885,290.80,290.80,290.80,290.80,290.80,290.80,290.80,290.80
1886,291.10,291.10,291.10,291.10,291.10,291.10,291.10,291.10
1887,291.41,291.41,291.41,291.41,291.41,291.41,291.41,291.41
1888,291.76,291.76,291.76,291.76,291.76,291.76,291.76,291.76
1889,292.11,292.11,292.11,292.11,292.11,292.11,292.11,292.11
1890,292.46,292.46,292.46,292.46,292.46,292.46,292.46,292.46
1891,292.82,292.82,292.82,292.82,292.82,292.82,292.82,292.82
1892,293.17,293.17,293.17,293.17,293.17,293.17,293.17,293.17
1893,293.48,293.48,293.48,293.48,293.48,293.48,293.48,293.48
1894,293.79,293.79,293.79,293.79,293.79,293.79,293.79,293.79
1895,294.08,294.08,294.08,294.08,294.08,294.08,294.08,294.08
1896,294.36,294.36,294.36,294.36,294.36,294.36,294.36,294.36
